"date","Price_1BC","Price_2BO","Price_3BL","Price_4BZ","Price_5CO","Price_6CW","Price_7DANS","Price_8BOW","Price_9DPRB","Price_10GD","Price_11GS","Price_12IZ","Price_13NO","Price_14NW","Price_15OHIB","Price_16OD","Price_17ON","Price_18OO","Price_19SV","Price_20WGM","Price_21WP","Price_22ZUID"
"2021-12-05",159.8,73.3333333333333,129.058139534884,127.529411764706,156.078431372549,151.95652173913,208.357142857143,154.516,163.023622047244,118.25,115.9,163.702702702703,164.4,115.236842105263,142.3125,156,148.384615384615,149.31914893617,120.848484848485,164.717948717949,151.297520661157,171.863636363636
"2021-12-06",174.181818181818,128.789473684211,136.048387096774,129.107142857143,173.006546644845,181.633640552995,143.14,159.991271820449,174.550724637681,97.2045454545455,124.024096385542,177.3375,141.569892473118,128.257352941176,143.029268292683,124.444444444444,178.800796812749,155.552715654952,110.247524752475,162.136054421769,160.455525606469,181.633608815427
"2021-12-07",174.151515151515,127.473684210526,135.697580645161,128.303571428571,172.890522875817,178.875576036866,143.36,159.836658354115,173.913043478261,97.2272727272727,123.746987951807,177.11875,137.462365591398,128.095588235294,140.751219512195,122.666666666667,176.756972111554,154.872204472843,111.009900990099,162.700680272109,159.132075471698,179.3608815427
"2021-12-08",174.151515151515,127.473684210526,135.596774193548,128.303571428571,172.411764705882,179.478110599078,143.36,159.743142144638,173.58152173913,97.25,123.819277108434,177.44375,137.440860215054,128.830882352941,141.014634146341,123.166666666667,176.203187250996,155.313099041534,110.60396039604,162.65306122449,159.33153638814,180.923076923077
"2021-12-09",174.181818181818,127.473684210526,135.786290322581,128.375,173.416666666667,180.352534562212,143.46,160.114713216958,172.994565217391,97.3181818181818,123.867469879518,177.925,137.774193548387,128.904411764706,141.414634146341,123,176.641434262948,155.345047923323,109.851485148515,163.170068027211,160.018867924528,180.958791208791
"2021-12-10",178.363636363636,129.052631578947,140.729838709677,131.446428571429,179.516393442623,191.694700460829,146.18,163.40897755611,178.38768115942,98.7272727272727,133.096385542169,182.1625,138.89247311828,131.786764705882,147.487804878049,127.5,184.70281124498,158.137820512821,111.524752475248,172.585034013605,165.616216216216,187.813186813187
"2021-12-11",177.818181818182,129.052631578947,141.786290322581,131.446428571429,181.819672131148,193.081797235023,146.72,164.203241895262,179.905797101449,98.2954545454545,136.674698795181,182.6625,139.129032258065,131.919117647059,149.365853658537,128,185.875502008032,159.541666666667,113.118811881188,172.469387755102,166.294594594595,189.186813186813
"2021-12-12",175.090909090909,127.473684210526,136.004032258065,129.142857142857,173.911764705882,180.448156682028,144.08,159.839152119701,174.636528028933,98.0909090909091,124.10843373494,179.70625,137.870967741935,129.808823529412,142.258536585366,123.361111111111,177.187250996016,155.233226837061,109.544554455446,163.925170068027,161.752021563342,180.708791208791
"2021-12-13",174.151515151515,127.052631578947,135.443548387097,129.196428571429,173.697712418301,179.276497695853,144.1,159.670822942643,174.607594936709,98.3409090909091,124.277108433735,178.1125,137.774193548387,128.904411764706,140.409756097561,123.555555555556,175.286852589641,154.897763578275,110.356435643564,163.78231292517,160.633423180593,181.807692307692
"2021-12-14",174.151515151515,127.052631578947,136.004032258065,129.196428571429,174.725490196078,179.149769585253,144.22,160.042394014963,174.4773960217,98.5681818181818,124.289156626506,178.01875,138.731182795699,128.816176470588,141.068292682927,124.833333333333,175.545816733068,154.546325878594,110.346534653465,163.673469387755,160.684636118598,182.31043956044
"2021-12-15",174.151515151515,127.157894736842,136.584677419355,129.196428571429,175.190864600326,179.556451612903,144.04,160.089775561097,174.526220614828,98.6136363636364,124.277108433735,177.8,138.731182795699,128.367647058824,140.463414634146,123.555555555556,175.282868525896,154.210862619808,110.346534653465,163.673469387755,161.00269541779,182.299450549451
